device_name_actual,school_name_official,gender,sch_psle,level
14780,Chung Cheng High School (Yishun),99.0,2.0,2
14781,Chung Cheng High School (Yishun),99.0,2.0,2
14782,Chung Cheng High School (Yishun),99.0,2.0,2
14791,Chung Cheng High School (Yishun),99.0,2.0,2
14793,Chung Cheng High School (Yishun),99.0,2.0,2
14803,Chung Cheng High School (Yishun),99.0,2.0,2
14805,Chung Cheng High School (Yishun),99.0,2.0,2
14806,Chung Cheng High School (Yishun),99.0,2.0,1
14815,Chung Cheng High School (Yishun),99.0,2.0,2
14819,Chung Cheng High School (Yishun),99.0,2.0,1
14827,Chung Cheng High School (Yishun),99.0,2.0,1
14847,Chung Cheng High School (Yishun),99.0,2.0,2
14857,Chung Cheng High School (Yishun),99.0,2.0,2
14858,Chung Cheng High School (Yishun),99.0,2.0,2
14871,Chung Cheng High School (Yishun),99.0,2.0,1
14874,Chung Cheng High School (Yishun),99.0,2.0,1
14882,Chung Cheng High School (Yishun),99.0,2.0,1
14889,Chung Cheng High School (Yishun),99.0,2.0,1
14890,Chung Cheng High School (Yishun),99.0,2.0,1
14898,Chung Cheng High School (Yishun),99.0,2.0,2
14901,Chung Cheng High School (Yishun),99.0,2.0,1
14903,Chung Cheng High School (Yishun),99.0,2.0,1
14909,Chung Cheng High School (Yishun),99.0,2.0,1
14915,Chung Cheng High School (Yishun),99.0,2.0,2
14921,Chung Cheng High School (Yishun),99.0,2.0,2
14923,Chung Cheng High School (Yishun),99.0,2.0,2
14934,Chung Cheng High School (Yishun),99.0,2.0,2
14937,Chung Cheng High School (Yishun),99.0,2.0,2
14946,Chung Cheng High School (Yishun),99.0,2.0,2
14952,Chung Cheng High School (Yishun),99.0,2.0,2
14962,Chung Cheng High School (Yishun),99.0,2.0,2
14966,Chung Cheng High School (Yishun),99.0,2.0,2
14968,Chung Cheng High School (Yishun),99.0,2.0,2
14990,Chung Cheng High School (Yishun),99.0,2.0,1
14995,Chung Cheng High School (Yishun),99.0,2.0,2
14997,Chung Cheng High School (Yishun),99.0,2.0,2
15030,Chung Cheng High School (Yishun),99.0,2.0,1
15054,Chung Cheng High School (Yishun),99.0,2.0,1
15094,Chung Cheng High School (Yishun),99.0,2.0,2
15158,Chung Cheng High School (Yishun),99.0,2.0,2
15190,Chung Cheng High School (Yishun),99.0,2.0,2
15251,Chung Cheng High School (Yishun),99.0,2.0,2
