website,category_1,confidence_1,category_2,confidence_2,error,status
guya.moe,Arts & Entertainment,0.9812449217,Computers & Technology,0.2762623727,FALSE,200
maksudperibahasa.com,Education/Reference,0.5449650884,Education/Reference,0.4499951601,FALSE,200
adidas.com.sg,Shopping,0.8394762874,Shopping,0.178137511,FALSE,200
manhuascan.com,Arts & Entertainment,0.979298234,,,FALSE,200
busuu.com,Education/Reference,0.6329427361,Education/Reference,0.1021009982,FALSE,200
arealme.com,Arts & Entertainment,0.9566251636,,,FALSE,200
colossusssp.com,,,,,TRUE,411
manoramaonline.com,News/Media,1,News/Media,0.2867166996,FALSE,200
appsample.com,Gaming,0.4470505416,Gaming,0.3172642291,FALSE,200
taylorswift.com,Arts & Entertainment,0.5637560487,Arts & Entertainment,0.3862325549,FALSE,200
jigsawplanet.com,Arts & Entertainment,0.9318349361,Gaming,0.8831368685,FALSE,200
readworks.org,Computers & Technology,0.3569471538,Religion & Spirituality,0.1787040979,FALSE,200
ukutabs.com,Arts & Entertainment,1,Arts & Entertainment,0.7254080772,FALSE,200
minecraft.net,,,,,TRUE,410
gencraft.com,Computers & Technology,0.6367471218,Computers & Technology,0.1934213787,FALSE,200
politicsandwar.com,Gaming,0.4185727537,Computers & Technology,0.349557966,FALSE,200
sololeveling-manhwa.online,Arts & Entertainment,0.9881532788,Computers & Technology,0.113742508,FALSE,200
ibispaint.com,Computers & Technology,0.618599236,Computers & Technology,0.4135883451,FALSE,200
silentinevitable.com,Arts & Entertainment,0.1153082922,,,FALSE,200
one.google.com,Web-based Applications,0.94325912,Computers & Technology,0.1137639657,FALSE,200
holmesmind.com,,,,,TRUE,411
pokemon-planet.com,Gaming,0.7216476202,Gaming,0.4487718046,FALSE,200
clickcease.com,Advertising/Marketing,0.3117765486,Web-based Applications,0.1746913195,FALSE,200
cowordle.org,Gaming,0.7130174637,Gaming,0.2821440399,FALSE,200
myshopify.com,Shopping,0.4571253359,,,FALSE,200
vodtw.com,Computers & Technology,0.9949278235,,,FALSE,200
g2afse.com,,,,,TRUE,410
boredbutton.com,Arts & Entertainment,0.2610183656,Arts & Entertainment,0.1602781713,FALSE,200
quran.com,Religion & Spirituality,1,,,FALSE,200
squarespace.com,Web-based Applications,0.7166104913,Web-based Applications,0.214642629,FALSE,200
songsterr.com,Arts & Entertainment,1,Arts & Entertainment,0.5360256433,FALSE,200
eltngl.com,Education/Reference,0.3322704136,Education/Reference,0.1442577988,FALSE,200
augailou.com,,,,,TRUE,410
screenrant.com,Arts & Entertainment,0.708486259,Arts & Entertainment,0.6470573545,FALSE,200
thesmartlocal.com,Education/Reference,0.3764837086,Automotive & Transportation,0.2509347796,FALSE,200
chrome-signin.com,,,,,TRUE,410
microsoft365.com,Computers & Technology,0.5214967728,Computers & Technology,0.3648355603,FALSE,200
instiengage.com,,,,,TRUE,410
czbooks.net,Computers & Technology,0.9368379116,,,0,200
hero-wars.com,Gaming,0.7941132188,Gaming,0.6197421551,0,200
manhuazone.net,Arts & Entertainment,0.9925313592,Computers & Technology,0.6122528315,FALSE,200
samplicio.us,,,,,FALSE,200
gamepog.com,Gaming,0.6735854149,Gaming,0.6476493478,FALSE,200
harveynorman.com.sg,Shopping,0.4445940554,Home & Garden,0.3523349166,FALSE,200
flamescans.org,Arts & Entertainment,0.8284003139,Computers & Technology,0.5010070205,FALSE,200
mewleroinks.digital,,,,,TRUE,410
personality-database.com,Science,0.7940475345,Arts & Entertainment,0.3632836044,FALSE,200
nullschool.net,Education/Reference,0.5549108982,Computers & Technology,0.1953490674,FALSE,200
icasassessments.com,Education/Reference,0.8829933405,Education/Reference,0.5621567369,FALSE,200
cathaycineplexes.com.sg,Arts & Entertainment,0.8952373862,Arts & Entertainment,0.156620279,0,200
harvard.edu,Education/Reference,0.9501006007,,,FALSE,200
asana.com,Computers & Technology,1,Computers & Technology,0.5586777925,FALSE,200
alipay.com,,,,,TRUE,0
danceodia.com,Arts & Entertainment,0.9411514997,Arts & Entertainment,0.4070693552,FALSE,200
pictory.ai,Computers & Technology,0.7089636922,Advertising/Marketing,0.3274004161,FALSE,200
faloo.com,,,,,TRUE,411
flappybird.io,Gaming,0.8401311636,Gaming,0.7603555322,FALSE,200
mblock.cc,Computers & Technology,0.6602148414,Computers & Technology,0.4914915264,FALSE,200
talentlms.com,Computers & Technology,0.6286401153,Business,0.5771737099,FALSE,200
forgotkernoi.life,,,,,TRUE,410
zinmanhwa.com,Arts & Entertainment,0.9782543182,Arts & Entertainment,0.1163702458,FALSE,200
literatu.com,Education/Reference,0.615734458,Computers & Technology,0.355534941,FALSE,200
torioluor.com,,,,,TRUE,410
beepbox.co,Computers & Technology,0.3271463513,Computers & Technology,0.1376961768,FALSE,200
osmosewatch.top,,,,,TRUE,410
kidsiot.cn,Arts & Entertainment,0.532476604,Shopping,0.1397387236,FALSE,200
playfootball.games,Sports & Recreation,0.7001491785,Gaming,0.668508172,FALSE,200
apis.google.com,Computers & Technology,0.4602781832,Computers & Technology,0.1574323922,FALSE,200
accesstra.de,,,,,TRUE,411
arcgis.com,Computers & Technology,0.3622435927,Education/Reference,0.3579983711,FALSE,200
toppr.com,,,,,TRUE,410
coflnet.com,Gaming,0.364069432,Gaming,0.2325062454,FALSE,200
custom-cursor.com,Community Sites,0.2431147397,Community Sites,0.125716567,FALSE,200
kaido.to,Arts & Entertainment,0.970539093,Arts & Entertainment,0.8556967378,FALSE,200
yesstyle.com,Health & Medicine,0.2361699194,Health & Medicine,0.1602262259,FALSE,200
noteflight.com,Arts & Entertainment,0.9145836234,Computers & Technology,0.4228385389,FALSE,200
last.fm,Arts & Entertainment,0.7019932866,Arts & Entertainment,0.3572807312,FALSE,200
discovertoday.co,News/Media,0.2466154546,,,FALSE,200
vocabulary.com,Education/Reference,0.5371379256,Education/Reference,0.5148660541,FALSE,200
csync.me,,,,,TRUE,410
krunker.io,Gaming,0.7023812532,Gaming,0.3629886508,FALSE,200
scmp.com,News/Media,0.5630452037,Political,0.4231721461,FALSE,200
kapwing.com,Computers & Technology,1,Computers & Technology,0.2409643233,FALSE,200
yad.com,Gaming,0.8979677558,Gaming,0.6531345844,FALSE,200
booksandpeople.com.sg,Arts & Entertainment,0.2017178982,Arts & Entertainment,0.1750917286,FALSE,200
rblx.trade,Gaming,0.8233604431,Gaming,0.7161695361,FALSE,200
cottonon.com,Shopping,0.6278027892,Shopping,0.37423262,FALSE,200
sportskeeda.com,News/Media,0.8321486712,Sports & Recreation,0.1964972317,FALSE,200
5lovelanguages.com,Arts & Entertainment,0.8730971813,Religion & Spirituality,0.1344111711,FALSE,200
